publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	preceding_publication_title_id	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	publication_type	access_type	zdb_id	gokb_tipp_uid	gokb_title_uid
Developing Africa’s Financial Services	978-1-78714-187-2	978-1-78714-186-5							https://www.emerald.com/insight/publication/doi/10.1108/9781787141865	Verhoef	10.1108/9781787141865		Fulltext		Emerald Publishing Limited		2017-05-08	2017-05-08			PhD		Monograph	P		dce75e4f-0477-4c23-b0dd-59ce22b1d03c	1f24b662-8ba2-4ede-9041-d24e105569fd
Applications of Management Science	978-1-78714-283-1	978-1-78714-282-4							https://www.emerald.com/insight/publication/doi/10.1108/S0276-8976201718	Gupta	10.1108/S0276-8976201718		Fulltext		Emerald Publishing Limited		2017-05-05	2017-05-05	18		Lawrence		Monograph	P		8c40f1aa-8686-4ca8-9a62-e4a9dd6f402c	9980d210-3dc8-46cf-ae91-7536592e2c15
Management and Diversity	978-1-78635-550-8	978-1-78635-549-2							https://www.emerald.com/insight/publication/doi/10.1108/S2051-233320173	Özbilgin	10.1108/S2051-233320173		Fulltext		Emerald Publishing Limited		2017-05-03	2017-05-03	3		Özbilgin		Monograph	P		002c81d6-7b65-455e-8ef4-1c30174a24b6	5e42ecab-b26f-4977-8ef1-1b27d36fcfce
Sociometrics and Human Relationships	978-1-78714-113-1	978-1-78714-112-4							https://www.emerald.com/insight/publication/doi/10.1108/9781787141124	Gloor	10.1108/9781787141124		Fulltext		Emerald Publishing Limited		2017-04-29	2017-04-29					Monograph	P		0d1cdb1b-c3a3-4af3-a360-079f09db7853	14377227-6d33-4a41-93bc-7f35de8d040a
Megaproject Risk Analysis and Simulation	978-1-78635-831-8	978-1-78635-830-1							https://www.emerald.com/insight/publication/doi/10.1108/9781786358301	Boateng	10.1108/9781786358301		Fulltext		Emerald Publishing Limited		2017-04-26	2017-04-26					Monograph	P		3b2d9430-ef4b-4ea6-8d69-62d8c0bd8611	16333b19-c9a6-450f-bdce-64e6220b3659
Working Deeply	978-1-78714-424-8	978-1-78714-423-1							https://www.emerald.com/insight/publication/doi/10.1108/9781787144231	Barner	10.1108/9781787144231		Fulltext		Emerald Publishing Limited		2017-04-22	2017-04-22					Monograph	P		a2d1d989-35f2-452b-ad29-7d7d1da46871	28d41ee7-bb95-44c7-b6fa-85488cd85c77
Demystifying China’s Mega Trends	978-1-78714-410-1	978-1-78714-409-5							https://www.emerald.com/insight/publication/doi/10.1108/9781787144095	Lo	10.1108/9781787144095		Fulltext		Emerald Publishing Limited		2017-04-21	2017-04-21					Monograph	P		a9db71f5-3311-4411-a1ff-2bc952509ae7	ad0962e3-19f4-4840-b090-20f36d4fe6f6
How Mediation Works	978-1-78714-223-7	978-1-78714-222-0							https://www.emerald.com/insight/publication/doi/10.1108/9781787142220	Goldberg	10.1108/9781787142220		Fulltext		Emerald Publishing Limited		2017-04-20	2017-04-20					Monograph	P		408c4ea3-6b8a-4636-906d-49a877136327	e4800952-7dff-4ad1-8736-4d4b55517d91
Geography, Location, and Strategy	978-1-78714-277-0	978-1-78714-276-3							https://www.emerald.com/insight/publication/doi/10.1108/S0742-3322201736	Yeung	10.1108/S0742-3322201736		Fulltext		Emerald Publishing Limited		2017-04-19	2017-04-19	36		Alcácer		Monograph	P		2f751860-8b95-461a-ac8c-6611d15d26bc	c7b4232f-060e-438c-8724-0b6f1dcee7ec
Swarm Leadership and the Collective Mind	978-1-78714-201-5	978-1-78714-200-8							https://www.emerald.com/insight/publication/doi/10.1108/9781787142008	Gloor	10.1108/9781787142008		Fulltext		Emerald Publishing Limited		2017-04-19	2017-04-19					Monograph	P		5aea97f1-dd45-487c-b762-1c6cdc634244	332ae155-703d-474c-8093-7fd3f9218796
Feminists and Queer Theorists Debate the Future of Critical Management Studies	978-1-78635-498-3	978-1-78635-497-6							https://www.emerald.com/insight/publication/doi/10.1108/S2046-607220173	Phillips	10.1108/S2046-607220173		Fulltext		Emerald Publishing Limited		2017-04-11	2017-04-11	3		Pullen		Monograph	P		e4bf7732-730c-44b6-bece-e00524b719b0	e92b6931-745c-4eb4-ad3e-4652d49554c3
Shaping Social Enterprise	978-1-78714-251-0	978-1-78714-250-3							https://www.emerald.com/insight/publication/doi/10.1108/9781787142503	Kerlin	10.1108/9781787142503		Fulltext		Emerald Publishing Limited		2017-03-31	2017-03-31			Kerlin		Monograph	P		491350a8-0097-405b-b2b9-bac8d52707e4	9b041318-f41d-4f57-96d0-b9902af6ef4e
Global Corporate Governance	978-1-78635-166-1	978-1-78635-165-4							https://www.emerald.com/insight/publication/doi/10.1108/S1569-3732201719	Lehnert	10.1108/S1569-3732201719		Fulltext		Emerald Publishing Limited		2017-03-30	2017-03-30	19		John		Monograph	P		37589a9a-479b-432c-83d0-b67e930dcb55	4b75aaf4-fe93-48bd-8421-13234bcd4376
Change Management for Organizations	978-1-78714-119-3	978-1-78714-118-6							https://www.emerald.com/insight/publication/doi/10.1108/9781787141186	Sadangi	10.1108/9781787141186		Fulltext		Emerald Publishing Limited		2017-03-28	2017-03-28					Monograph	P		1ff275b9-f43f-4af5-9b0c-db3dc39269ca	dbe946c6-2b6f-464a-ace3-22b89f7c9fb9
Emergence	978-1-78635-915-5	978-1-78635-914-8							https://www.emerald.com/insight/publication/doi/10.1108/S0733-558X201750	Greve	10.1108/S0733-558X201750		Fulltext		Emerald Publishing Limited		2017-03-24	2017-03-24	50		Seidel		Monograph	P		ba334496-ce52-4853-a3f5-2fcc4a66cc80	7ea32ecd-d5ef-4f50-8b46-9b3f68543559
Advances in Environmental Accounting & Management: Social and Environmental Accounting in Brazil	978-1-78635-376-4	978-1-78635-375-7							https://www.emerald.com/insight/publication/doi/10.1108/S1479-359820176	Jaggi	10.1108/S1479-359820176		Fulltext		Emerald Publishing Limited		2017-03-23	2017-03-23	6		Belal		Monograph	P		a0ab064b-9dad-45b2-970a-d901832c9a2c	349365d6-4f4f-4791-9eed-4759d4aa4bc6
Grassroots Leadership and the Arts for Social Change	978-1-78635-688-8	978-1-78635-687-1							https://www.emerald.com/insight/publication/doi/10.1108/S2058-8801201703	Ibrahimefendic	10.1108/S2058-8801201703		Fulltext		Emerald Publishing Limited		2017-03-21	2017-03-21			Erenrich		Monograph	P		db09b352-125c-4a61-8a27-819a90476be3	c2712d2c-00c2-418f-86af-dbc1c8a2fa33
From Categories to Categorization: Studies in Sociology, Organizations and Strategy at the Crossroads	978-1-78714-239-8	978-1-78714-238-1							https://www.emerald.com/insight/publication/doi/10.1108/S0733-558X201751	Tyllström	10.1108/S0733-558X201751		Fulltext		Emerald Publishing Limited		2017-03-17	2017-03-17	51		Durand		Monograph	P		42e27dea-0ce2-4fe0-bbdc-b09e458ed285	fb075b0e-02a4-43c1-ac7e-13a20e1d092f
21st Century Corporate Citizenship	978-1-78635-610-9	978-1-78635-609-3							https://www.emerald.com/insight/publication/doi/10.1108/9781786356093	Stangis	10.1108/9781786356093		Fulltext		Emerald Publishing Limited		2017-03-15	2017-03-15					Monograph	P		e277ccaf-a189-42d0-be48-c8412ddac61b	7bd84b56-fb7d-4fe3-9d14-2457dfa0d6cf
Investment Traps Exposed	978-1-78714-253-4	978-1-78714-252-7							https://www.emerald.com/insight/publication/doi/10.1108/9781787142527	Baker	10.1108/9781787142527		Fulltext		Emerald Publishing Limited		2017-03-15	2017-03-15					Monograph	P		0d927175-6f66-43a4-8c96-f374fbd3b5ef	dcf16ffe-6af6-4c6c-a7f4-38dfefc102d2
Forming and Centering	978-1-78635-829-5	978-1-78635-828-8							https://www.emerald.com/insight/publication/doi/10.1108/9781786358288	Moffett	10.1108/9781786358288		Fulltext		Emerald Publishing Limited		2017-03-14	2017-03-14					Monograph	P		f370c6c1-7262-4843-b5e3-c8cee6e7cc7e	ee1119be-c995-4b88-8bed-6d6e3e09f1e0
Advances in Accounting Education: Teaching and Curriculum Innovations	978-1-78714-181-0	978-1-78714-180-3							https://www.emerald.com/insight/publication/doi/10.1108/S1085-4622201720	Jones	10.1108/S1085-4622201720		Fulltext		Emerald Publishing Limited		2017-03-06	2017-03-06	20		Rupert		Monograph	P		02bc04d5-5e05-45ab-ba1e-3b6321fd0564	28c40910-476d-4413-9538-ba5119cae84a
The Imagination Gap	978-1-78714-207-7	978-1-78714-206-0							https://www.emerald.com/insight/publication/doi/10.1108/9781787142060	Reich	10.1108/9781787142060		Fulltext		Emerald Publishing Limited		2017-03-02	2017-03-02			Reich		Monograph	P		e566646b-0265-44d4-808b-9b67152b0eb9	809c3993-172d-46e6-8c20-6e27e5f56dad
Multinational Corporations and Organization Theory: Post Millennium Perspectives	978-1-78635-386-3	978-1-78635-385-6							https://www.emerald.com/insight/publication/doi/10.1108/S0733-558X201749	Geppert	10.1108/S0733-558X201749		Fulltext		Emerald Publishing Limited		2017-02-17	2017-02-17	49		DöRrenbächer		Monograph	P		40ff02a7-b621-45dd-9c93-f80f5cde7301	8ab5be74-5dfc-42d2-bb52-9beab22aa40f
Internationalization of Firms: The Role of Institutional Distance on Location and Entry mode	978-1-78714-135-3	978-1-78714-134-6							https://www.emerald.com/insight/publication/doi/10.1108/9781787141346	Parietti	10.1108/9781787141346		Fulltext		Emerald Publishing Limited		2017-02-14	2017-02-14					Monograph	P		e824c7bc-d010-4678-a1d7-06f28f915a22	e76a59df-3004-4771-943f-708ac4e8ef6a
Understanding the New Business Paradigm in Eastern Europe	978-1-78714-121-6	978-1-78714-120-9							https://www.emerald.com/insight/publication/doi/10.1108/9781787141209	Kozielski	10.1108/9781787141209		Fulltext		Emerald Publishing Limited		2017-02-06	2017-02-06					Monograph	P		7097f5dd-d675-4f3e-a20f-2005f4a28fde	655d8720-775d-410e-8a19-fc8b1351fb92
Rethinking the Business Models of Business Schools	978-1-78754-875-6	978-1-78754-874-9							https://www.emerald.com/insight/publication/doi/10.1108/9781787548749	Peters	10.1108/9781787548749		Fulltext		Emerald		2018-01-17	2018-01-17					Monograph	P		295ac46d-4c92-46fd-942a-b2b2fdb06a01	3a38cee9-8598-4d67-9077-49b3758a7dfe
Improving the Marriage of Modeling and Theory for Accurate Forecasts of Outcomes	978-1-78635-122-7	978-1-78635-121-0							https://www.emerald.com/insight/publication/doi/10.1108/S1069-0964201825	Woodside	10.1108/S1069-0964201825		Fulltext		Emerald		2018-01-29	2018-01-29	25		Woodside		Monograph	P		3f27701a-c773-448c-b694-64e2d022c66a	ff5736ba-d80d-436c-9327-8ca1c8408698
Advances in Industrial and Labor Relations, 2017: Shifts in Workplace Voice, Justice, Negotiation and Conflict Resolution in Contemporary Workplaces	978-1-78743-486-8	978-1-78743-485-1							https://www.emerald.com/insight/publication/doi/10.1108/S0742-6186201824	Dunford	10.1108/S0742-6186201824		Fulltext		Emerald		2018-02-02	2018-02-02	24		Lewin		Monograph	P		9665acdd-760f-4b4d-b3e2-c2e02f811bb7	16d10895-e282-495b-86c3-80fb072cfae9
Smash	978-1-78743-798-2	978-1-78743-797-5							https://www.emerald.com/insight/publication/doi/10.1108/9781787437975	Nenonen	10.1108/9781787437975		Fulltext		Emerald		2018-02-05	2018-02-05					Monograph	P		4ef04ebc-c2fe-4c07-8866-7186bda3b167	ccc2ad68-d35b-4b40-b596-e1b207052e27
Consumer Culture Theory	978-1-78743-907-8	978-1-78743-906-1							https://www.emerald.com/insight/publication/doi/10.1108/S0885-2111201819	Drummond	10.1108/S0885-2111201819		Fulltext		Emerald		2018-02-05	2018-02-05	19		Cross		Monograph	P		9f60944e-2ae6-4277-b6ef-3f7a94155dd1	e7107039-aa81-4102-bda0-41383735d613
Broken Pie Chart	978-1-78743-554-4	978-1-78743-553-7							https://www.emerald.com/insight/publication/doi/10.1108/9781787435537	Moore	10.1108/9781787435537		Fulltext		Emerald		2018-02-09	2018-02-09					Monograph	P		20718e78-51d2-42d0-a2ea-09152d895bbd	55ab14b3-c9f4-42e9-a757-6f0c9de911d1
The Catalyst Effect	978-1-78743-552-0	978-1-78743-551-3							https://www.emerald.com/insight/publication/doi/10.1108/9781787435513	Toomer	10.1108/9781787435513		Fulltext		Emerald		2018-02-12	2018-02-12					Monograph	P		7613cad4-498b-402a-aa33-54bf6b7382ac	5462b626-5821-4b2c-a10f-db24f4e3643f
Expand, Grow, Thrive	978-1-78743-782-1	978-1-78743-781-4							https://www.emerald.com/insight/publication/doi/10.1108/9781787437814	Canalichio	10.1108/9781787437814		Fulltext		Emerald		2018-02-12	2018-02-12					Monograph	P		8048ea64-8242-4a63-a806-8d8d55a7e5f9	087c37a6-c7f1-40aa-aa7a-edf8e20dfc67
Generational Career Shifts	978-1-78754-414-7	978-1-78714-583-2							https://www.emerald.com/insight/publication/doi/10.1108/9781787145832	Ng	10.1108/9781787145832		Fulltext		Emerald		2018-02-15	2018-02-15					Monograph	P		10cac7ef-1108-4f32-a47c-c383446eab9e	c4f80b5f-08d7-418d-b74f-a23b7cf0d246
Public Procurement Fundamentals	978-1-78754-608-0	978-1-78754-605-9							https://www.emerald.com/insight/publication/doi/10.1108/9781787546059	Khan	10.1108/9781787546059		Fulltext		Emerald		2018-02-25	2018-02-25					Monograph	P		c0bf3855-f561-4b3e-a3ec-892add93b47c	c50eb439-cc05-4843-96df-8668b3c8181d
Continuous Auditing	978-1-78743-414-1	978-1-78743-413-4							https://www.emerald.com/insight/publication/doi/10.1108/9781787434134	Kogan	10.1108/9781787434134		Fulltext		Emerald		2018-03-08	2018-03-08			Chan		Monograph	P		a3fd94ad-0183-4f94-b65e-8da7935ad497	5ec595ff-c2c4-471d-938b-784b2042dc3f
Governance of the Smart Mobility Transition	978-1-78754-320-1	978-1-78754-317-1							https://www.emerald.com/insight/publication/doi/10.1108/9781787543171	Marsden	10.1108/9781787543171		Fulltext		Emerald		2018-03-13	2018-03-13			Marsden		Monograph	P		ac7476e4-41bd-4771-8368-e6f41e2e5b2a	1fe06a6d-a953-49fe-88c0-b2ea071eb241
Global Tensions in Financial Markets	978-1-78714-840-6	978-1-78714-839-0							https://www.emerald.com/insight/publication/doi/10.1108/S0196-3821201734	Lin	10.1108/S0196-3821201734		Fulltext		Emerald		2018-03-19	2018-03-19	34		Kensinger		Monograph	P		97be0323-9495-4d5d-95b3-29527a96d7d5	85348f5a-3823-4ab2-b1c0-b48ad21074ef
Frontiers of Creative Industries: Exploring Structural and Categorical Dynamics	978-1-78743-774-6	978-1-78743-773-9							https://www.emerald.com/insight/publication/doi/10.1108/S0733-558X201855	Svejenova	10.1108/S0733-558X201855		Fulltext		Emerald		2018-04-03	2018-04-03	55		Jones		Monograph	P		01d88761-a2ea-480c-97ca-c7345c191089	0065bf21-3a80-4975-ae01-460bed040ba8
21 for 21	978-1-78754-698-1	978-1-78743-787-6							https://www.emerald.com/insight/publication/doi/10.1108/9781787437876	Stankosky	10.1108/9781787437876		Fulltext		Emerald		2018-04-06	2018-04-06					Monograph	P		ac26f973-d5e4-47a0-99bc-c10530a08a28	69c80cc3-09f3-4271-9325-a6c483b43512
Sustainability Accounting	978-1-78754-889-3	978-1-78754-888-6							https://www.emerald.com/insight/publication/doi/10.1108/S1479-359820187	Senn	10.1108/S1479-359820187		Fulltext		Emerald		2018-04-17	2018-04-17	7		Belal		Monograph	P		566fd5f0-fabb-40e9-a89c-55d7c6573c51	44d8c9cf-a224-4419-9054-d4ea275b2b51
Autonomous Driving	978-1-78714-834-5	978-1-78714-833-8							https://www.emerald.com/insight/publication/doi/10.1108/9781787148338	Herrmann	10.1108/9781787148338		Fulltext		Emerald		2018-04-18	2018-04-18					Monograph	P		909c76e7-4a72-4dfc-ac19-d20b5bf53856	96eceda8-3038-41ce-8fd2-7730a772b9f1
Safe Mobility: Challenges, Methodology and Solutions	978-1-78635-224-8	978-1-78635-223-1							https://www.emerald.com/insight/publication/doi/10.1108/S2044-9941201811	Lord	10.1108/S2044-9941201811		Fulltext		Emerald		2018-04-18	2018-04-18	11		Lord		Monograph	P		670dbfed-d227-4693-827c-ece5c743945b	e9be7959-7b39-4fae-a124-602477b40537
The Efficiency of Mutual Fund Families	978-1-78743-800-2	978-1-78743-799-9							https://www.emerald.com/insight/publication/doi/10.1108/9781787437999	Sánchez-González	10.1108/9781787437999		Fulltext		Emerald		2018-04-19	2018-04-19					Monograph	P		4f07fdf5-c4ec-4b48-9d93-a6a59289ee12	7d4da429-6672-4f60-906a-0d3c7a2b5d63
Leadership and Public Sector Reform in Asia	978-1-78743-310-6	978-1-78743-309-0							https://www.emerald.com/insight/publication/doi/10.1108/S2053-7697201830	Horie	10.1108/S2053-7697201830		Fulltext		Emerald		2018-04-23	2018-04-23	30		Berman		Monograph	P		97cc873d-f4f7-4def-9e86-e3365bb25794	b98228dc-20eb-4a76-a14d-256cffd8e9b0
Realignment, Region, and Race	978-1-78743-792-0	978-1-78743-791-3							https://www.emerald.com/insight/publication/doi/10.1108/9781787437913	Goethals	10.1108/9781787437913		Fulltext		Emerald		2018-04-30	2018-04-30					Monograph	P		2cdb22b6-6759-497d-8986-6f75605591b8	8b602105-7acb-4e87-9d81-62aa3d092a21
Democrats, Authoritarians and the Bologna Process	978-1-78743-466-0	978-1-78754-497-0							https://www.emerald.com/insight/publication/doi/10.1108/9781787544970	Marquand	10.1108/9781787544970		Fulltext		Emerald		2018-04-30	2018-04-30					Monograph	P		f60080cb-7e46-4259-aefd-f6cb1f2efac1	35252f03-f9d4-4485-a7ed-43d2c1f851c1
Performance-Based Strategy	978-1-78743-796-8	978-1-78743-795-1							https://www.emerald.com/insight/publication/doi/10.1108/9781787437951	Fairbanks	10.1108/9781787437951		Fulltext		Emerald		2018-05-01	2018-05-01					Monograph	P		1f6cfdc3-2427-4348-b0f8-6a8e858afc40	b2b26314-2fed-4848-83d5-13afb3394d4c
Emotional Appeals in Advertising Banking Services	978-1-78756-302-5	978-1-78756-299-8							https://www.emerald.com/insight/publication/doi/10.1108/9781787562998	Mogaji	10.1108/9781787562998		Fulltext		Emerald		2018-05-01	2018-05-01					Monograph	P		0e970d87-3b35-4b35-ba91-1953bf65ca37	47a48c70-59b5-4187-bd7b-d9cd4829268b
Research on Professional Responsibility and Ethics in Accounting	978-1-78754-973-9	978-1-78754-972-2							https://www.emerald.com/insight/publication/doi/10.1108/S1574-0765201821	Coate	10.1108/S1574-0765201821		Fulltext		Emerald		2018-05-03	2018-05-03	21		Jefrey		Monograph	P		f1469629-2346-475e-8def-fc41cb2f813d	80b3ae23-38e5-4a67-b3cb-d543b5f29271
Mastering Brexits Through The Ages	978-1-78743-897-2	978-1-78743-896-5							https://www.emerald.com/insight/publication/doi/10.1108/9781787438965	Culkin	10.1108/9781787438965		Fulltext		Emerald		2018-05-08	2018-05-08					Monograph	P		d1c2b390-c20f-4b5b-8ac9-c8e6976e04e9	b679a2e8-5196-4cc7-b405-bd0a45da9bda
Employee Ownership and Employee Involvement at Work: Case Studies	978-1-78714-520-7	978-1-78714-519-1							https://www.emerald.com/insight/publication/doi/10.1108/S0885-3339201818	Berry	10.1108/S0885-3339201818		Fulltext		Emerald		2018-05-08	2018-05-08	18		Berry		Monograph	P		b971319f-ac74-41ee-a050-c3ceb36573ad	be77dbf8-2ab7-48f8-8650-127b5ca16cfb
Spatial Justice and Informal Settlements	978-1-78714-768-3	978-1-78714-767-6							https://www.emerald.com/insight/publication/doi/10.1108/9781787147676	Schwab	10.1108/9781787147676		Fulltext		Emerald		2018-05-14	2018-05-14					Monograph	P		dcca8193-2b38-40fc-8e03-ba04ee501c4c	0acca976-dc3b-4e7f-b49a-597f8ebb1fd0
Hybrid Media Events	978-1-78714-852-9	978-1-78714-851-2							https://www.emerald.com/insight/publication/doi/10.1108/9781787148512	Sumiala	10.1108/9781787148512		Fulltext		Emerald		2018-05-14	2018-05-14					Monograph	P		f8d77a90-2b77-4417-8d02-7e6be87f7191	aba3467d-4d19-433b-967c-f1a802f4d787
The Sustainable Marketing Concept in European SMEs	978-1-78754-039-2	978-1-78754-038-5							https://www.emerald.com/insight/publication/doi/10.1108/9781787540385	Rudawska	10.1108/9781787540385		Fulltext		Emerald		2018-05-14	2018-05-14			Rudawska		Monograph	P		c0fb5d75-1ac9-4cc5-8bdf-5ac5ce921342	fbcbfe8d-836c-4137-ab92-1be068ea276e
Corporate Social Responsibility	978-1-78754-260-0	978-1-78754-259-4							https://www.emerald.com/insight/publication/doi/10.1108/S2514-175920182	Carroll	10.1108/S2514-175920182		Fulltext		Emerald		2018-05-14	2018-05-14	2		Weber		Monograph	P		d88843f0-3198-4312-b6db-2a4c120a5cbc	18108826-3575-4a37-847a-9104dde6012d
Market Research Methods in the Sports Industry	978-1-78754-192-4	978-1-78754-191-7							https://www.emerald.com/insight/publication/doi/10.1108/9781787541917	Šeri?	10.1108/9781787541917		Fulltext		Emerald		2018-05-15	2018-05-15					Monograph	P		096e59ee-a92a-4bf5-a732-b6c204576766	f6302908-b63b-4f0b-ab8d-f6480ec0d784
Re-envisioning the MLS: Perspectives on the Future of Library and Information Science Education	978-1-78754-881-7	978-1-78754-880-0							https://www.emerald.com/insight/publication/doi/10.1108/S0065-2830201844A	McClurg	10.1108/S0065-2830201844A		Fulltext		Emerald		2018-05-17	2018-05-17	44A		Percell		Monograph	P		2b1d964d-7f6d-4ab2-b32e-426ac48dd606	faf00219-327b-4481-9d92-9d6ef02226f9
Re-Envisioning the MLS: Perspectives on the Future of Library and Information Science Education	978-1-78754-885-5	978-1-78754-884-8							https://www.emerald.com/insight/publication/doi/10.1108/S0065-2830201844B	Percell	10.1108/S0065-2830201844B		Fulltext		Emerald		2018-05-17	2018-05-17	44B		Percell		Monograph	P		80300a4d-9318-4578-b40d-d8e6617c24d5	27f9a9f2-6cb3-4578-b5d3-37f14e0eb55c
Organizing Marketing and Sales	978-1-78754-969-2	978-1-78754-968-5							https://www.emerald.com/insight/publication/doi/10.1108/9781787549685	Andersson	10.1108/9781787549685		Fulltext		Emerald		2018-05-29	2018-05-29			Andersson		Monograph	P		3a1e22d6-02d3-49f8-abc8-77b9c5df62bb	137e2c5c-ce73-4adf-84a0-fc469c78f6ad
Organisational Control in University Management	978-1-78756-674-3	978-1-78756-671-2							https://www.emerald.com/insight/publication/doi/10.1108/9781787566712	Kindsiko	10.1108/9781787566712		Fulltext		Emerald		2018-05-29	2018-05-29					Monograph	P		5cf2a5a7-384f-426e-87fe-1f6a8eb34ad8	0bcf51ff-f95a-4d3e-aa62-d9528ed36cc7
Latin America	978-1-78756-808-2	978-1-78756-807-5							https://www.emerald.com/insight/publication/doi/10.1108/9781787568075	Alvarado	10.1108/9781787568075		Fulltext		Emerald		2018-05-30	2018-05-30					Monograph	P		10e2006a-88ae-4f99-a969-3db11eb76a9f	22a6bede-1436-4243-bde5-51cb30023786
Health Econometrics	978-1-78714-542-9	978-1-78714-541-2							https://www.emerald.com/insight/publication/doi/10.1108/S0573-85552018294	Jones	10.1108/S0573-85552018294		Fulltext		Emerald		2018-05-30	2018-05-30	294		Baltagi		Monograph	P		41fa58cb-7aa7-4f41-880a-e2e2192dca64	2b3afd9e-b52f-4396-8a08-bee892577e6d
Return on Investment in Corporate Responsibility	978-1-78756-252-3	978-1-78756-249-3							https://www.emerald.com/insight/publication/doi/10.1108/9781787562493	Sáenz	10.1108/9781787562493		Fulltext		Emerald		2018-06-01	2018-06-01					Monograph	P		134e1abe-4899-4c3c-8550-283357cbbb04	e66ea4d9-6aba-476a-96d2-ed41e2c1996a
Project Management in the Library Workplace	978-1-78754-837-4	978-1-78754-836-7							https://www.emerald.com/insight/publication/doi/10.1108/S0732-0671201838	Perrin	10.1108/S0732-0671201838		Fulltext		Emerald		2018-06-01	2018-06-01	38		Daugherty		Monograph	P		6f35d9fe-ddf4-4a2d-9807-8cbe0ce42acd	83186c16-86bf-4376-96de-360b802a9721
Culture Your Culture	978-1-78743-899-6	978-1-78743-898-9							https://www.emerald.com/insight/publication/doi/10.1108/9781787438989	Jaw-Madson	10.1108/9781787438989		Fulltext		Emerald		2018-06-14	2018-06-14					Monograph	P		556bf343-1c57-4625-9bfe-35d135100cdc	cbd0cc79-3f69-4274-ae1e-2ce72d7f9f03
Managing Brands in 4D	978-1-78756-103-8	978-1-78756-102-1							https://www.emerald.com/insight/publication/doi/10.1108/9781787561021	Pogorzelski	10.1108/9781787561021		Fulltext		Emerald		2018-06-14	2018-06-14					Monograph	P		d0a9a3c6-2734-488a-b272-3983e4e1fad1	55eff45a-37ee-4aaa-9bd7-2b61ab36fe0f
Including a Symposium on Bruce Caldwell’s Beyond Positivism After 35 Years	978-1-78756-126-7	978-1-78756-125-0							https://www.emerald.com/insight/publication/doi/10.1108/S0743-4154201836A	Scheall	10.1108/S0743-4154201836A		Fulltext		Emerald		2018-06-14	2018-06-14	36A		Fiorito		Monograph	P		7a400170-4416-48d6-8db6-163a2dcfb4a4	e9d54e4f-9a80-4aa2-ab72-8d1b32a7b1f9
Advances in Mergers and Acquisitions	978-1-78756-136-6	978-1-78756-135-9							https://www.emerald.com/insight/publication/doi/10.1108/S1479-361X201817	Labbas	10.1108/S1479-361X201817		Fulltext		Emerald		2018-06-15	2018-06-15	17		Finkelstein		Monograph	P		bdf95fc5-bdfc-4594-a02a-9e65118a50b6	59c89dd4-aec0-47fd-acab-c8f3aac2df93
Making Mergers and Acquisitions Work	978-1-78743-350-2	978-1-78743-349-6							https://www.emerald.com/insight/publication/doi/10.1108/9781787433496	Venzin	10.1108/9781787433496		Fulltext		Emerald		2018-06-21	2018-06-21					Monograph	P		08783775-27d9-4c20-8256-e31e6497cbd8	0465240a-4256-4f70-9c8c-21018a082b9d
A Meaningful Life at Work	978-1-78756-770-2	978-1-78756-767-2							https://www.emerald.com/insight/publication/doi/10.1108/9781787567672	Bakar	10.1108/9781787567672		Fulltext		Emerald		2018-06-25	2018-06-25					Monograph	P		a88a0558-665b-4214-8217-22a946f873c4	7b8cc3ca-ebc0-47b8-a9e8-763efe233c71
Innovation and Strategy	978-1-78754-829-9	978-1-78754-828-2							https://www.emerald.com/insight/publication/doi/10.1108/S1548-6435201815	Bharadwaj	10.1108/S1548-6435201815		Fulltext		Emerald		2018-07-03	2018-07-03	15		Varadarajan		Monograph	P		ada6b993-29de-4fa3-bee9-bbaf69d5f972	fb7dd339-d3d5-4436-be48-87bdcbbc1eba
Visual Ethics	978-1-78756-166-3	978-1-78756-165-6							https://www.emerald.com/insight/publication/doi/10.1108/S1529-2096201819	Schwartz	10.1108/S1529-2096201819		Fulltext		Emerald		2018-07-09	2018-07-09	19		Schwartz		Monograph	P		06b7b3a3-c2cb-4733-b7ea-ce7b7d985afc	83b92c2f-b1c8-4a43-ad51-5290dae3f26d
Governance and Regulations’ Contemporary Issues	978-1-78743-816-3	978-1-78743-815-6							https://www.emerald.com/insight/publication/doi/10.1108/S1569-3759201899	Tomic	10.1108/S1569-3759201899		Fulltext		Emerald		2018-07-09	2018-07-09	99		Grima		Monograph	P		21982fec-1fa8-4dd2-8c0f-54b11019c5c1	fff1f493-daf9-4d38-a687-c14b12d775d2
The Emerald Handbook of Entrepreneurship in Tourism, Travel and Hospitality	978-1-78743-530-8	978-1-78743-529-2							https://www.emerald.com/insight/publication/doi/10.1108/9781787435292	Arvanitis	10.1108/9781787435292		Fulltext		Emerald		2018-07-11	2018-07-11			Sotiriadis		Monograph	P		df303414-ee2e-4347-bf28-5ee42de3fdb5	04fa3a26-91fa-4f6c-9f0f-e4d8b6c81faa
